block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
8,cube0,0.000000,8245628,10.850952,4.067122,3.895010,8.822688,NA,0.000000,NA,0.000000,NA,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.875000,416.500000,192.000000,1.540576,34.000000,0.361139,0.000000,0.000000,384.000000,3.886032,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,72109,0.090027,5.449307,5.793530,0.090027,18,0.000000,4,0.000000,273.500000,4.250000,NA,NA,NA,NA,NA,NA,NA,NA,257.250000,2.476283,4.250000,0.048195,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,72166,0.058253,2.727301,3.071524,0.063549,10,0.000000,3,0.000000,145.000000,3.000000,NA,NA,NA,NA,NA,NA,NA,NA,128.750000,1.239344,2.750000,0.031185,
9,cube0,0.000000,8317875,10.850952,4.067122,3.895010,8.822688,NA,0.000000,NA,0.000000,NA,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.875000,416.500000,192.000000,1.540576,34.000000,0.361139,0.000000,0.000000,384.000000,3.886032,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,72084,0.097971,5.449307,5.790882,0.092675,18,0.000000,4,0.000000,273.375000,4.375000,NA,NA,NA,NA,NA,NA,NA,NA,257.250000,2.476283,4.625000,0.052447,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,72072,0.060901,2.727301,3.071524,0.063549,10,0.000000,3,0.000000,145.000000,3.000000,NA,NA,NA,NA,NA,NA,NA,NA,128.750000,1.239344,2.875000,0.032602,
10,cube0,0.000000,8189790,10.850952,4.067122,3.895010,8.822688,NA,0.000000,NA,0.000000,NA,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.875000,416.500000,192.000000,1.540576,34.000000,0.361139,0.000000,0.000000,384.000000,3.886032,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,72001,0.095323,5.449307,5.790882,0.090027,18,0.000000,4,0.000000,273.375000,4.250000,NA,NA,NA,NA,NA,NA,NA,NA,257.250000,2.476283,4.500000,0.051030,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,72042,0.047662,2.727301,3.068876,0.060901,10,0.000000,3,0.000000,144.875000,2.875000,NA,NA,NA,NA,NA,NA,NA,NA,128.750000,1.239344,2.250000,0.025515,
11,cube0,0.000000,8116258,10.850952,4.067122,3.895010,8.822688,NA,0.000000,NA,0.000000,NA,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.875000,416.500000,192.000000,1.540576,34.000000,0.361139,0.000000,0.000000,384.000000,3.886032,NA,NA,NA,NA,
